ID,TM_SCORE
A0A075ISY8_673_4,0.90819
A0A3M2BFW8_681_4,0.84966
A0A1G0AW29_247_3,0.82402
A0A1G0AW29_467_4,0.8512
A0A075IPP2_280_3,0.8932
D9SHP6_128_2,0.84824
A0A1G0AW29_34_1,0.83719
A0A0P9C7E3_307_3,0.84778
A0A3M2BFW8_627_4,0.85327
A0A832ANL8_508_4,0.88863
A0A1G0AW29_205_3,0.84844
A0A832ANL8_379_3,0.86392
A0A948EPL6_364_3,0.88999
A0A075IPP2_174_3,0.90033
D9SHP6_650_4,0.83594
A0A1G0AW29_478_4,0.84609
A0A1G0AW29_209_3,0.84037
A0A075IPP2_296_3,0.9148
A0A1G0AW29_12_1,0.83907
A0A7Y0GYQ9_538_4,0.84959
A0A7C6EZB3_64_2,0.85487
A0A832ANL8_277_3,0.90396
A0A7Y0GYQ9_529_4,0.85868
A0A1G0AW29_18_1,0.83062
A0A3M1FDV3_420_4,0.79987
D9SHP6_316_3,0.84369
A0A3M1FDV3_409_4,0.81755
A0A075ISY8_289_3,0.90538
A0A7V8AB38_22_1,0.86199
A0A832ANL8_593_4,0.8794
UPI00056DDB62_124_2,0.85231
A0A1G0AW29_687_4,0.84303
A0A1G0AW29_121_2,0.84285
A0A7C5R2G0_580_4,0.86106
A0A1G0AW29_152_2,0.84548
A0A1G0AW29_639_4,0.82183
A0A7V5C8V4_564_4,0.86923
A0A832ANL8_532_4,0.88869
A0A3M2BFW8_683_4,0.85198
A0A948EPL6_275_3,0.88725
A0A075IPP2_282_3,0.90609
A0A3B0XHN3_60_2,0.90661
A0A3M1FDV3_406_4,0.81543
A0A3M2BFW8_111_2,0.84934
A0A3M1FDV3_442_4,0.82086
A0A832ANL8_591_4,0.87521
A0A7C3D5F8_558_4,0.8794
A0A1G0AW29_686_4,0.83054
A0A1G0AW29_619_4,0.84182
A0A948EPL6_368_3,0.9177
A0A3M2BFW8_682_4,0.84063
A0A1G0AW29_159_2,0.83521
A0A1G0AW29_116_2,0.83308
A0A075IPP2_452_4,0.87864
K1YYQ0_413_4,0.90875
A0A075IPP2_361_3,0.87899
A0A075IPP2_91_2,0.89986
A0A948EPL6_274_3,0.87804
A0A3M1FDV3_430_4,0.82328
A0A355WLL9_512_4,0.88076
A0A832ANL8_521_4,0.86908
A0A075IPP2_377_3,0.89658
A0A075IPP2_265_3,0.90714
A0A075IPP2_485_4,0.91
A0A075IPP2_136_2,0.90158
A0A075IPR4_44_1,0.88657
F2ZCE9_351_3,0.88202
A0A075ISY8_661_4,0.90835
A0A1G0AW29_248_3,0.83795
I4DDN7_75_2,0.89197
A0A3M2BFW8_696_4,0.85238
A0A1G0AW29_320_3,0.84674
D9SHP6_623_4,0.84592
A0A1G0AW29_132_2,0.8463
A0A2U0AGL4_291_3,0.87677
A0A3M2BFW8_656_4,0.84481
A0A2K8L348_636_4,0.84486
A0A3B0XHN3_61_2,0.91318
A0A1W6AQ06_577_4,0.90545
A0A948EPL6_365_3,0.90061
A0A075IPP2_482_4,0.89373
A0A2K8L348_315_3,0.84389
A0A3N1XWA5_42_1,0.83741
A0A075IPP2_250_3,0.91253
A0A1G0AW29_220_3,0.82762
A0A1G0AW29_147_2,0.84112
A0A832ANL8_603_4,0.87554
UPI0005EB8F6C_68_2,0.85239
A0A1G0AW29_255_3,0.84841
A0A3M1FDV3_441_4,0.81381
A0A3M1FDV3_428_4,0.81376
I4DDM4_327_3,0.90731
A0A1G0AW29_184_3,0.81447
A0A075IPP2_455_4,0.89479
A0A075IPP2_463_4,0.91228
Q59462_4_1,0.83852
A0A1G0AW29_8_1,0.83545
A0A832ANL8_592_4,0.86835
A0A7Y0GYQ9_539_4,0.81106
A0A1G0AW29_146_2,0.82965
A0A355WLL9_513_4,0.87471
A0A075IPP2_496_4,0.90459
K1YYQ0_408_4,0.89351
A0A1G0AW29_117_2,0.84875
K1YYQ0_438_4,0.90764
A0A075IPP2_279_3,0.90293
A0A832ANL8_507_4,0.88885
A0A1G0AW29_160_2,0.83494
A0A832ANL8_604_4,0.88562
A0A1G0AW29_148_2,0.82009
Q6Y9I4_561_4,0.59241
A0A1G0AW29_613_4,0.84199
A0A7Y2YWN0_294_3,0.85301
A0A075IPP2_173_3,0.90258
I4DDM4_299_3,0.90595
A0A0G4EI01_100_2,0.68171
A0A075IPP2_93_2,0.91533
K1YYQ0_417_4,0.90138
A0A1G0AW29_468_4,0.84256
A0A1W6AQ06_576_4,0.9124
A0A948EPL6_345_3,0.87672
A0A832ANL8_378_3,0.89308
A0A3B0XHN3_20_1,0.8781
A0A3M1FDV3_703_4,0.80889
A0A832ANL8_590_4,0.87181
A0A075IPP2_267_3,0.90675
A0A1G0AW29_241_3,0.83907
A0A075IPP2_150_2,0.89431
A0A2K8L348_602_4,0.83722
A0A1G0AW29_115_2,0.84252
A0A1G0AW29_350_3,0.83388
A0A832ANL8_657_4,0.89667
A0A3M1FDV3_423_4,0.82323
A0A1G0AW29_285_3,0.81731
A0A2K8L348_471_4,0.84871
A0A3N1XWA5_33_1,0.85051
A0A3M2BFW8_655_4,0.85027
A0A2K8L348_164_2,0.8418
A0A1G0AW29_30_1,0.83856
A0A1G0AW29_243_3,0.80023
A0A1G0AW29_7_1,0.84073
A0A1G0AW29_258_3,0.84803
A0A1G0AW29_171_2,0.81277
A0A3B0XHN3_19_1,0.89589
A0A1G0AW29_244_3,0.84728
A0A075IPP2_486_4,0.90023
A0A1G0AW29_631_4,0.84209
A0A3M1FDV3_403_4,0.82126
A0A075IPP2_186_3,0.8903
A0A3M2BFW8_110_2,0.84456
A0A3M2BFW8_625_4,0.85346
A0A832ANL8_555_4,0.8344
A0A3M2BFW8_689_4,0.85272
A0A1G0AW29_40_1,0.84337
A0A948EPL6_52_2,0.88647
A0A1G0AW29_257_3,0.8409
A0A075IPP2_338_3,0.90898
D9SHP6_252_3,0.84014
A0A075IPP2_383_3,0.90525
A0A948EPL6_679_4,0.9112
A0A075IPP2_134_2,0.88843
A0A1G0AW29_192_3,0.84262
A0A2K8L348_393_4,0.84514
D9SHP6_607_4,0.84156
A0A075IPP2_219_3,0.89972
A0A3M2BFW8_699_4,0.84776
A0A0G0QYQ4_402_4,0.90076
A0A1G0AW29_208_3,0.84312
A0A948EPL6_694_4,0.8906
A0A075IPP2_498_4,0.90957
A0A1G0AW29_245_3,0.84575
A0A7Y0GYQ9_295_3,0.85745
A0A7C3D5F8_568_4,0.84909
A0A2K8L348_465_4,0.84355
A0A948EPL6_311_3,0.87418
U3U4M7_6_1,0.90577
A0A1G0AW29_145_2,0.8399
A0A832J6A2_346_3,0.84349
A0A2K8L348_212_3,0.84608
A0A1W6AQ06_578_4,0.90269
A0A1G0AW29_334_3,0.83445
K1YYQ0_427_4,0.8991
A0A948EPL6_362_3,0.89465
A0A382KYT3_584_4,0.88755
K1YYQ0_412_4,0.8911
A0A1G0AW29_103_2,0.84387
I4DDJ6_47_2,0.89757
A0A3M2BFW8_343_3,0.83935
A0A1G0AW29_120_2,0.84123
A0A075IPP2_359_3,0.89909
A0A1G0AW29_390_4,0.8452
K1YYQ0_398_4,0.89556
A0A7V8AB38_23_1,0.86325
A0A3M2BFW8_48_2,0.8383
I4DDR7_293_3,0.90641
A0A3M2BFW8_676_4,0.84002
A0A1G0AW29_195_3,0.84898
A0A1G0AW29_90_2,0.85061
A0A2K8L348_178_3,0.83211
A0A1G0AW29_166_2,0.84904
V6EXN2_73_2,0.85841
A0A382KYT3_514_4,0.8606
A0A1G0AW29_392_4,0.83937
A0A1G0AW29_638_4,0.81363
A0A2K8L348_641_4,0.84155
A0A832ANL8_197_3,0.90651
A0A7Y0GYQ9_530_4,0.85537
A0A1W6AQ06_566_4,0.9031
A0A7C3D5F8_571_4,0.86999
UPI0021E97E19_113_2,0.8552
A0A075IPP2_211_3,0.89668
A0A3B0XHN3_0_1,0.87547
D9SHP6_233_3,0.81491
A0A382KYT3_583_4,0.87589
A0A948EPL6_695_4,0.85609
A0A948EPL6_366_3,0.87248
D9SHP6_643_4,0.81545
A0A832ANL8_509_4,0.8696
A0A075IPP2_96_2,0.90458
D9SHP6_644_4,0.84465
I4DDN7_77_2,0.87167
A0A7C3D5F8_570_4,0.84489
A0A1G0AW29_108_2,0.84068
A0A3M2BFW8_692_4,0.85126
A0A1G0AW29_391_4,0.84454
D9SHP6_610_4,0.81869
A0A075IPP2_92_2,0.89418
A0A3M2BFW8_697_4,0.8435
A0A1G3IDC6_352_3,0.8592
A0A075IPP2_94_2,0.91268
A0A075ISY8_671_4,0.90811
A0A1G0AW29_637_4,0.84578
A0A075ISY8_287_3,0.89942
D9SHP6_105_2,0.8405
A0A3B0XHN3_21_1,0.88749
A0A0G0QYQ4_447_4,0.89854
A0A1G0AW29_457_4,0.84284
A0A948EPL6_269_3,0.89569
A0A1G0AW29_470_4,0.84145
A0A075IPP2_226_3,0.90166
A0A7C3D5F8_559_4,0.85447
A0A7Y0GYQ9_297_3,0.85529
A0A382KYT3_516_4,0.8882
A0A7V5C8V4_565_4,0.86189
K1YYQ0_425_4,0.89799
A0A1G0AW29_41_1,0.84131
A0A075IPP2_156_2,0.89981
F5BZE3_552_4,0.90038
A0A832ANL8_506_4,0.91044
A0A075IPP2_158_2,0.90308
A0A1G0AW29_259_3,0.83236
A0A075ISY8_670_4,0.8988
A0A1G0AW29_231_3,0.82777
A0A832ANL8_523_4,0.88246
A0A2K8L348_232_3,0.84939
D9SHP6_213_3,0.83836
A0A7Y0GYQ9_527_4,0.84534
A0A1G0AW29_194_3,0.84581
A0A3M1FDV3_404_4,0.82069
A0A075ISY8_286_3,0.91206
A0A3M2BFW8_340_3,0.84909
A0A1G0AW29_653_4,0.84899
A0A1G0AW29_620_4,0.80904
A0A1G0AW29_118_2,0.84206
A0A075IPP2_324_3,0.9036
A0A0T5Z1X2_55_2,0.85637
A0A3M2BFW8_376_3,0.84771
A0A075IPP2_480_4,0.90304
A0A832ANL8_660_4,0.88455
A0A948EPL6_678_4,0.89955
A0A1G0AW29_479_4,0.84462
A0A1G0AW29_335_3,0.83698
A0A1G0AW29_84_2,0.83674
A0A075ISY8_663_4,0.90845
A0A3N1XWA5_43_1,0.8505
A0A0G0QYQ4_401_4,0.90931
A0A1G0AW29_318_3,0.84335
A0A948EPL6_130_2,0.89227
A0A948EPL6_53_2,0.91432
A0A832ANL8_535_4,0.87257
A0A1G0AW29_127_2,0.8398
A0A075IPP2_484_4,0.89965
Q59462_5_1,0.85302
A0A075IPP2_167_2,0.90236
A0A1G0AW29_491_4,0.84752
A0A1G0AW29_125_2,0.84511
A0A1G0AW29_254_3,0.837
A0A075IPP2_138_2,0.8899
A0A1G0AW29_229_3,0.83734
A0A3M1FDV3_432_4,0.81846
A0A2A4WCC7_58_2,0.84675
A0A3M2BFW8_187_3,0.81962
A0A1G0AW29_10_1,0.83741
A0A1G0AW29_249_3,0.83782
A0A1G0AW29_256_3,0.84977
D9SHP6_234_3,0.83489
A0A1G0AW29_500_4,0.78988
A0A075IPP2_384_3,0.90099
A0A7Y0GYQ9_300_3,0.8576
A0A2K8L348_462_4,0.84771
A0A3M2BFW8_698_4,0.84536
A0A1G0AW29_461_4,0.84496
A0A948EPL6_356_3,0.87398
D9SHP6_217_3,0.84153
A0A1G0AW29_317_3,0.83674
A0A2K8L348_642_4,0.83979
A0A948EPL6_71_2,0.91726
A0A2K8KYS9_31_1,0.83342
D9SHP6_651_4,0.83963
A0A1G0AW29_223_3,0.84152
A0A7Y0GYQ9_549_4,0.85347
A0A3M2BFW8_177_3,0.83504
A0A075IPP2_149_2,0.9117
K1YYQ0_437_4,0.89528
A0A075IPP2_331_3,0.89923
K1YYQ0_399_4,0.88661
K1YYQ0_416_4,0.89053
I4DDN7_83_2,0.90664
A0A3M1FDV3_443_4,0.81115
A0A3M1HUI7_86_2,0.84647
A0A1W6AQ06_567_4,0.90501
A0A3M1FDV3_424_4,0.81612
A0A075IPP2_142_2,0.90611
A0A948EPL6_276_3,0.87852
A0A1G0AW29_628_4,0.84719
A0A075IPP2_493_4,0.88542
A0A7Y0GYQ9_525_4,0.85334
A0A3M2BFW8_624_4,0.84875
A0A1G0AW29_474_4,0.85006
A0A075IPP2_185_3,0.90357
A0A948EPL6_308_3,0.90661
A0A075ISY8_664_4,0.90407
A0A075IVF1_112_2,0.89588
A0A1G0AW29_170_2,0.8383
A0A832ANL8_536_4,0.90664
A0A1G0AW29_242_3,0.84446
A0A832ANL8_533_4,0.89481
A0A7Y0GYQ9_589_4,0.85964
A0A832ANL8_504_4,0.88747
A0A075IPP2_453_4,0.89493
A0A075IPP2_454_4,0.89794
A0A3M1FDV3_622_4,0.8132
A0A075IPP2_210_3,0.90751
A0A7V7WQB9_375_3,0.85818
A0A7S2ILE2_600_4,0.80357
A0A075IPP2_261_3,0.89119
A0A948EPL6_273_3,0.89402
A0A1G0AW29_193_3,0.83736
A0A1G0AW29_38_1,0.84595
A0A1G0AW29_332_3,0.84917
A0A661DL27_353_3,0.8787
A0A075IPP2_386_3,0.89335
A0A948EPL6_355_3,0.83831
D9SHP6_618_4,0.84724
A0A3M2BFW8_190_3,0.84604
A0A1G0AW29_685_4,0.83314
A0A7C3D5F8_569_4,0.85131
A0A953VJD8_349_3,0.84779
A0A1G0AW29_492_4,0.82659
A0A832ANL8_518_4,0.89701
A0A832ANL8_700_4,0.90349
A0A832ANL8_601_4,0.87668
A0A075IPP2_494_4,0.89411
A0A1G0AW29_260_3,0.82814
A0A948EPL6_363_3,0.89827
A0A075IPP2_329_3,0.91438
A0A075IPP2_495_4,0.90926
A0A657Q713_292_3,0.85377
A0A7Y0GYQ9_541_4,0.86476
A0A1G0AW29_191_3,0.84151
A0A832ANL8_526_4,0.89026
A0A075IPP2_207_3,0.88521
A0A7X7ZGQ9_67_2,0.85121
D9SHP6_284_3,0.84137
A0A832ANL8_557_4,0.89653
A0A1G0AW29_169_2,0.84643
A0A075ISY8_672_4,0.90306
F2ZCF1_200_3,0.89159
A0A075ISY8_374_3,0.90699
K1YYQ0_414_4,0.88508
A0A2K8L348_634_4,0.83836
A0A832ANL8_380_3,0.86051
A0A0P1FYB4_581_4,0.8493
A0A1G0AW29_477_4,0.84565
A0A3N1XWA5_29_1,0.84976
A0A948EPL6_358_3,0.89526
A0A832ANL8_667_4,0.89902
A0A661E1C3_129_2,0.86098
A0A813L3F7_574_4,0.64653
A0A1G0AW29_230_3,0.83507
Q21YM9_69_2,0.8565
A0A962DV06_57_2,0.85394
A0A075ISY8_288_3,0.90164
A0A7V8AB38_27_1,0.85984
A0A7Y0GYQ9_528_4,0.85572
A0A1G0AW29_2_1,0.84081
I4DDN7_81_2,0.87854
A0A832ANL8_519_4,0.87636
A0A3M1FDV3_410_4,0.82581
K1YYQ0_421_4,0.88803
F2ZCD4_17_1,0.89374
A0A3M2BFW8_189_3,0.8415
A0A075IPP2_228_3,0.89383
A0A1G0AW29_102_2,0.83691
K1YYQ0_411_4,0.89806
A0A1W6AQ46_25_1,0.90105
K1YYQ0_434_4,0.90585
A0A3M2BFW8_63_2,0.8456
A0A1G0AW29_605_4,0.83457
A0A2K8L348_72_2,0.84405
K1YYQ0_426_4,0.90222
A0A3M2BFW8_342_3,0.85034
A0A832ANL8_281_3,0.89455
Q8RTI1_15_1,0.86302
A0A832ANL8_666_4,0.88296
A0A2K8KYS9_32_1,0.83766
A0A832ANL8_544_4,0.89652
A0A1G0AW29_336_3,0.83894
A0A1G0AW29_224_3,0.82434
A0A2K8L348_238_3,0.85098
A0A075IPP2_389_3,0.89546
A0A832J6A2_271_3,0.84913
UPI000570971D_59_2,0.86449
A0A2K8L348_394_4,0.82117
K1YYQ0_422_4,0.89381
A0A1G0AW29_206_3,0.81654
A0A382KYT3_517_4,0.8726
A0A1G0AW29_476_4,0.81212
A0A849Q8T9_439_4,0.79433
F2ZCF1_201_3,0.90702
A0A1G0AW29_196_3,0.82994
I4DDM4_531_4,0.89078
A0A832ANL8_658_4,0.89506
A0A3D0LV50_347_3,0.85713
A0A948EPL6_357_3,0.89245
A0A1G0AW29_37_1,0.83983
A0A075IPP2_483_4,0.89792
A0A832ANL8_534_4,0.86014
A0A832ANL8_199_3,0.88167
A0A0G0QYQ4_418_4,0.90868
A0A1G0AW29_499_4,0.80548
A0A7Y0GYQ9_303_3,0.85538
A0A369CGS8_304_3,0.84967
A0A7Y0GYQ9_548_4,0.85373
K1YYQ0_415_4,0.89698
A0A1G0AW29_632_4,0.82254
A0A1G0AW29_654_4,0.84303
A0A3M1FDV3_431_4,0.8117
A0A832ANL8_524_4,0.85584
A0A075IPP2_262_3,0.89814
A0A1G0AW29_45_1,0.84429
A0A813E9F1_598_4,0.67889
A0A075IPP2_141_2,0.88971
D9SHP6_616_4,0.83851
D9SHP6_236_3,0.83687
A0A1G0AW29_114_2,0.81307
A0A1G0AW29_154_2,0.84674
A0A948EPL6_693_4,0.86247
A0A1G0AW29_163_2,0.84268
A0A832ANL8_520_4,0.8841
A0A1G0AW29_456_4,0.84571
A0A7C3D5F8_560_4,0.86532
A0A0D6B0K4_306_3,0.84894
A0A2K8L348_264_3,0.84441
A0A832ANL8_588_4,0.84397
A0A2K8L348_448_4,0.83928
A0A2K8L348_266_3,0.84573
A0A075IPP2_322_3,0.89852
A0A2K8L348_161_2,0.84958
D9SHP6_251_3,0.84996
A0A7S3W3P9_563_4,0.86445
A0A1G0AW29_395_4,0.83331
A0A3M2BFW8_175_3,0.84253
A0A1G0AW29_621_4,0.83492
A0A3M2BFW8_691_4,0.8525
A0A075IPP2_139_2,0.89922
A0A075IPP2_464_4,0.88468
A0A832ANL8_556_4,0.87824
A0A3M2BFW8_677_4,0.84102
A0A1G0AW29_337_3,0.84288
D9SHP6_215_3,0.83413
A0A832ANL8_546_4,0.89723
A0A933USX4_49_2,0.8492
A0A2K8L348_633_4,0.84249
F5BZE3_553_4,0.89468
A0A075IPP2_481_4,0.87664
A0A832ANL8_665_4,0.90424
A0A1G0AW29_28_1,0.84083
A0A832ANL8_554_4,0.8933
A0A075ISY8_662_4,0.90878
A0A3M1FDV3_444_4,0.81487
A0A075IPP2_382_3,0.89157
A0A7Y0GYQ9_540_4,0.85949
A0A3M1FDV3_433_4,0.81804
A0A1G0AW29_13_1,0.84407
Q6Y9I4_597_4,0.59638
A0A1G0AW29_89_2,0.8357
A0A3B0XHN3_26_1,0.89514
A0A075ISY8_669_4,0.90796
A0A1G0AW29_612_4,0.8365
A0A075IPP2_183_3,0.89346
A0A832ANL8_510_4,0.88932
A0A2K8L348_131_2,0.83737
A0A7Y0GYQ9_330_3,0.8534
A0A849Q8T9_400_4,0.81487
Q31IK3_50_2,0.85106
A0A1G0AW29_647_4,0.85184
D9SHP6_629_4,0.83142
A0A7Y0GYQ9_550_4,0.8557
A0A1G0AW29_459_4,0.84655
A0A3M2BFW8_176_3,0.85152
A0A1G0AW29_172_2,0.83447
D9SHP6_615_4,0.84319
A0A1G0AW29_88_2,0.84671
A0A7C3D5F8_594_4,0.88367
D9SHP6_235_3,0.84159
Q6Y9I4_572_4,0.59199
A0A3M1FDV3_405_4,0.81293
A0A075IPP2_179_3,0.89315
A0A1G0AW29_458_4,0.84534
A0A1G0AW29_652_4,0.82897
A0A1G0AW29_370_3,0.84326
A0A1G0AW29_371_3,0.84349
I4DDM4_326_3,0.90962
A0A075IPP2_487_4,0.90348
A0A948EPL6_85_2,0.907
A0A3N1XWA5_36_1,0.85981
A0A2K8L348_218_3,0.8236
A0A832ANL8_344_3,0.89996
A0A948EPL6_312_3,0.89851
A0A7Y0GYQ9_301_3,0.85206
A0A1G0AW29_680_4,0.84687
A0A1W6AQ06_585_4,0.91357
A0A075IPP2_137_2,0.89058
A0A3M2BFW8_188_3,0.83042
A0A075IPP2_165_2,0.90031
