Sequence_ID,Sequence_Length,Molecular_Weight,Type
A0A1G0AW29_116_2,470,51651.642800000074,Generated
A0A1G0AW29_117_2,470,51464.4123000001,Generated
A0A1G0AW29_118_2,470,51553.382700000046,Generated
A0A948EPL6_119_2,413,45359.191700000025,Generated
A0A1G0AW29_120_2,470,51692.63710000008,Generated
A0A1G0AW29_121_2,470,51655.76580000005,Generated
A0A075IPN0_122_2,397,43283.61130000003,Generated
A0A075IPN0_123_2,397,43445.10280000003,Generated
UPI00056DDB62_124_2,467,51011.6890000001,Generated
A0A1G0AW29_125_2,470,51746.72610000007,Generated
A0A1G0AW29_126_2,470,51691.934400000064,Generated
A0A1G0AW29_127_2,470,52255.624900000075,Generated
D9SHP6_128_2,470,51721.91200000007,Generated
A0A661E1C3_129_2,463,50654.019700000106,Generated
A0A948EPL6_130_2,413,45083.84370000006,Generated
A0A2K8L348_131_2,470,51741.62630000004,Generated
A0A1G0AW29_132_2,470,51659.95350000005,Generated
A0A075IPP2_133_2,399,43667.097200000026,Generated
A0A075IPP2_134_2,399,42897.31230000007,Generated
A0A075IPP2_135_2,399,43792.137900000045,Generated
A0A075IPP2_136_2,399,43101.41890000005,Generated
A0A075IPP2_137_2,399,43714.91700000003,Generated
A0A075IPP2_138_2,399,43647.2082,Generated
A0A075IPP2_139_2,399,43846.859300000004,Generated
A0A075IPP2_140_2,399,43233.80340000004,Generated
A0A075IPP2_141_2,399,43675.41040000004,Generated
A0A075IPP2_142_2,399,43351.10620000003,Generated
A0A1G0AW29_143_2,470,51654.86530000008,Generated
A0A2K8L348_144_2,470,51431.462900000064,Generated
A0A1G0AW29_145_2,470,51706.100100000054,Generated
A0A1G0AW29_146_2,470,51535.18570000006,Generated
A0A1G0AW29_147_2,470,51879.97330000008,Generated
A0A1G0AW29_148_2,470,51734.93070000006,Generated
A0A075IPP2_149_2,399,43966.76240000002,Generated
A0A075IPP2_150_2,399,43481.96350000001,Generated
A0A1G0AW29_151_2,470,51584.366000000075,Generated
A0A1G0AW29_152_2,470,51382.47710000003,Generated
A0A075IPP2_153_2,399,43924.656700000036,Generated
A0A1G0AW29_154_2,470,51724.91780000007,Generated
A0A2K8L348_155_2,470,51399.1298000001,Generated
A0A075IPP2_156_2,399,43558.18910000003,Generated
A0A075IPP2_157_2,399,43463.91890000001,Generated
A0A075IPP2_158_2,399,43385.15510000002,Generated
A0A1G0AW29_159_2,470,51643.55520000007,Generated
A0A1G0AW29_160_2,470,51740.99630000007,Generated
A0A2K8L348_161_2,470,51585.75060000005,Generated
A0A1G0AW29_162_2,470,52065.03400000008,Generated
A0A1G0AW29_163_2,470,51902.89600000008,Generated
A0A2K8L348_164_2,470,51549.710500000096,Generated
A0A075IPP2_165_2,399,43410.747800000034,Generated
A0A1G0AW29_166_2,470,51940.250500000046,Generated
A0A075IPP2_167_2,399,43330.77910000004,Generated
A0A1G0AW29_168_2,470,51358.42740000006,Generated
A0A1G0AW29_169_2,470,51803.92700000006,Generated
A0A1G0AW29_170_2,470,51710.25950000006,Generated
A0A1G0AW29_171_2,470,51329.416600000084,Generated
A0A1G0AW29_172_2,470,51553.78840000007,Generated
A0A075IPP2_173_3,399,43466.324200000025,Generated
A0A075IPP2_174_3,399,43621.097300000016,Generated
A0A3M2BFW8_175_3,468,51454.822400000136,Generated
A0A3M2BFW8_176_3,468,51276.139800000085,Generated
A0A3M2BFW8_177_3,468,51247.886100000054,Generated
A0A2K8L348_178_3,470,51464.71630000005,Generated
A0A075IPP2_179_3,399,42852.49280000003,Generated
A0A075IPP2_180_3,399,43909.804500000006,Generated
A0A3M2BFW8_181_3,468,51164.7770000001,Generated
A0A2K8L348_182_3,470,51715.95350000006,Generated
A0A075IPP2_183_3,399,44020.96590000003,Generated
A0A1G0AW29_184_3,470,51739.953700000086,Generated
A0A075IPP2_185_3,399,43237.819100000015,Generated
A0A075IPP2_186_3,399,43230.67760000003,Generated
A0A3M2BFW8_187_3,468,51577.43920000007,Generated
A0A3M2BFW8_188_3,468,50587.407000000094,Generated
A0A3M2BFW8_189_3,468,51805.83270000008,Generated
A0A3M2BFW8_190_3,468,51699.68150000008,Generated
A0A1G0AW29_191_3,470,51962.39500000005,Generated
A0A1G0AW29_192_3,470,51561.459800000106,Generated
A0A1G0AW29_193_3,470,52033.28420000006,Generated
A0A1G0AW29_194_3,470,51951.16680000004,Generated
A0A1G0AW29_195_3,470,51594.64520000008,Generated
A0A1G0AW29_196_3,470,51665.806000000084,Generated
A0A832ANL8_197_3,416,44991.42350000005,Generated
A0A832ANL8_198_3,416,45276.83910000004,Generated
A0A832ANL8_199_3,416,45705.59880000008,Generated
F2ZCF1_200_3,396,42636.24770000006,Generated
F2ZCF1_201_3,396,43205.16640000005,Generated
A0A2M7EME9_202_3,465,50735.29680000011,Generated
A0A3S9PWU7_203_3,463,50532.09110000008,Generated
A0A1G0AW29_204_3,470,51515.779900000074,Generated
A0A1G0AW29_205_3,470,51956.22240000007,Generated
A0A1G0AW29_206_3,470,51676.724600000074,Generated
A0A075IPP2_207_3,399,43778.50530000002,Generated
A0A1G0AW29_208_3,470,51882.004200000054,Generated
A0A1G0AW29_209_3,470,51686.61420000008,Generated
A0A075IPP2_210_3,399,43083.6137,Generated
A0A075IPP2_211_3,399,43521.13090000002,Generated
A0A2K8L348_212_3,470,51858.89620000003,Generated
D9SHP6_213_3,470,51686.050200000056,Generated
A0A1G0AW29_214_3,470,52031.48970000007,Generated
D9SHP6_215_3,470,52002.208800000044,Generated
D9SHP6_216_3,470,51889.983400000056,Generated
D9SHP6_217_3,470,51359.44980000007,Generated
A0A2K8L348_218_3,470,51302.27660000009,Generated
A0A075IPP2_219_3,399,43376.854200000045,Generated
A0A1G0AW29_220_3,470,51693.880700000045,Generated
A0A1G0AW29_221_3,470,51629.18690000005,Generated
A0A1G0AW29_222_3,470,50970.46050000003,Generated
A0A1G0AW29_223_3,470,51736.286900000065,Generated
A0A1G0AW29_224_3,470,51647.903000000086,Generated
A0A075IPP2_225_3,399,43957.72630000002,Generated
A0A075IPP2_226_3,399,43526.045700000046,Generated
A0A075IPP2_227_3,399,43075.439400000054,Generated
A0A075IPP2_228_3,399,44017.54680000002,Generated
A0A1G0AW29_229_3,470,51409.56600000008,Generated
A0A1G0AW29_230_3,470,51897.920000000035,Generated
A0A1G0AW29_231_3,470,51864.01970000006,Generated
A0A2K8L348_232_3,470,51602.600100000054,Generated
D9SHP6_233_3,470,51203.48100000009,Generated
D9SHP6_234_3,470,51066.28940000006,Generated
D9SHP6_235_3,470,51585.08220000006,Generated
D9SHP6_236_3,470,51474.65080000009,Generated
A0A075IPP2_237_3,399,43646.05420000005,Generated
A0A2K8L348_238_3,470,51662.00030000005,Generated
A0A2K8L348_239_3,470,51348.692400000036,Generated
A0A2K8L348_240_3,470,51548.62520000007,Generated
A0A1G0AW29_241_3,470,51623.78770000006,Generated
A0A1G0AW29_242_3,470,51734.16770000001,Generated
A0A1G0AW29_243_3,470,51949.10310000009,Generated
A0A1G0AW29_244_3,470,51684.05810000007,Generated
A0A1G0AW29_245_3,470,51511.74230000008,Generated
A0A1G0AW29_246_3,470,51700.789000000084,Generated
A0A1G0AW29_247_3,470,51613.75470000008,Generated
A0A1G0AW29_248_3,470,51953.206900000056,Generated
A0A1G0AW29_249_3,470,52061.31210000006,Generated
A0A075IPP2_250_3,399,43787.25300000001,Generated
D9SHP6_251_3,470,51382.811900000066,Generated
D9SHP6_252_3,470,51935.10940000008,Generated
A0A1G0AW29_253_3,470,51433.868600000074,Generated
A0A1G0AW29_254_3,470,51631.65880000007,Generated
A0A1G0AW29_255_3,470,52032.52250000004,Generated
A0A1G0AW29_256_3,470,51579.87200000005,Generated
A0A1G0AW29_257_3,470,51843.06370000007,Generated
A0A1G0AW29_258_3,470,51781.174500000074,Generated
A0A1G0AW29_259_3,470,51563.165300000066,Generated
A0A1G0AW29_260_3,470,51585.7397000001,Generated
A0A075IPP2_261_3,399,43436.09530000002,Generated
A0A075IPP2_262_3,399,43414.94880000001,Generated
A0A075IPP2_263_3,399,43971.43990000002,Generated
A0A2K8L348_264_3,470,51351.36200000007,Generated
A0A075IPP2_265_3,399,43493.18240000001,Generated
A0A2K8L348_266_3,470,51824.994800000066,Generated
A0A075IPP2_267_3,399,43276.606500000016,Generated
A0A948EPL6_268_3,413,45222.930900000065,Generated
A0A948EPL6_269_3,413,45344.44920000008,Generated
A0A948EPL6_270_3,413,45395.296700000064,Generated
A0A832J6A2_271_3,466,50536.372800000085,Generated
A0A832J6A2_272_3,466,51005.91460000008,Generated
A0A948EPL6_273_3,413,44653.99510000006,Generated
A0A948EPL6_274_3,413,45514.082000000046,Generated
A0A948EPL6_275_3,413,45369.08200000009,Generated
A0A948EPL6_276_3,413,45336.90970000007,Generated
A0A832ANL8_277_3,416,45264.69060000003,Generated
A0A075IPP2_278_3,399,43017.34360000004,Generated
A0A075IPP2_279_3,399,43132.54340000004,Generated
A0A075IPP2_280_3,399,42617.861000000055,Generated
A0A832ANL8_281_3,416,45483.94310000005,Generated
A0A075IPP2_282_3,399,43654.330800000025,Generated
A0A075IPP2_283_3,399,43683.88660000003,Generated
D9SHP6_284_3,470,51124.154900000074,Generated
A0A1G0AW29_285_3,470,51559.71200000008,Generated
A0A075ISY8_286_3,397,43577.304399999986,Generated
A0A075ISY8_287_3,397,43187.798200000056,Generated
A0A075ISY8_288_3,397,43256.70880000003,Generated
A0A075ISY8_289_3,397,43261.82930000006,Generated
A0A075ISY8_290_3,397,43345.04570000004,Generated
A0A2U0AGL4_291_3,432,47388.57510000003,Generated
A0A657Q713_292_3,463,50589.2486000001,Generated
I4DDR7_293_3,398,43197.93500000003,Generated
A0A7Y2YWN0_294_3,464,50705.9613000001,Generated
A0A7Y0GYQ9_295_3,463,50789.98700000006,Generated
A0A075IPP2_296_3,399,43535.817600000024,Generated
A0A7Y0GYQ9_297_3,463,50349.32660000006,Generated
A0A832ANL8_298_3,416,45037.51740000004,Generated
I4DDM4_299_3,398,43274.09470000005,Generated
A0A7Y0GYQ9_300_3,463,50468.704600000056,Generated
A0A7Y0GYQ9_301_3,463,50550.97390000011,Generated
A0A7Y0GYQ9_302_3,463,49986.00870000009,Generated
A0A7Y0GYQ9_303_3,463,50002.44550000002,Generated
A0A369CGS8_304_3,464,50197.53600000008,Generated
A0A1N7LI14_305_3,462,50796.85960000012,Generated
A0A0D6B0K4_306_3,466,50839.91330000009,Generated
A0A0P9C7E3_307_3,467,51569.911600000065,Generated
A0A948EPL6_308_3,413,45249.65290000005,Generated
A0A948EPL6_309_3,413,44640.07790000009,Generated
A0A948EPL6_310_3,413,45345.76350000007,Generated
A0A948EPL6_311_3,413,45288.14740000004,Generated
A0A948EPL6_312_3,413,45064.57420000005,Generated
UPI0003F8EEA2_313_3,461,50098.94370000008,Generated
A0A832ANL8_314_3,416,44885.391800000056,Generated
A0A2K8L348_315_3,470,51458.422800000095,Generated
D9SHP6_316_3,470,52029.19760000004,Generated
A0A1G0AW29_317_3,470,51677.63090000006,Generated
A0A1G0AW29_318_3,470,52021.23880000004,Generated
A0A1G0AW29_319_3,470,52024.07380000007,Generated
A0A1G0AW29_320_3,470,51553.638400000054,Generated
A0A075IPP2_321_3,399,43289.91500000001,Generated
A0A075IPP2_322_3,399,43873.69640000003,Generated
A0A075IPP2_323_3,399,42829.24470000004,Generated
A0A075IPP2_324_3,399,43820.25350000007,Generated
I4DDM4_325_3,398,43325.81170000004,Generated
I4DDM4_326_3,398,43658.26040000005,Generated
I4DDM4_327_3,398,43297.581500000044,Generated
A0A832ANL8_328_3,416,44960.36040000009,Generated
A0A075IPP2_329_3,399,43665.032400000004,Generated
A0A7Y0GYQ9_330_3,463,50599.09140000011,Generated
A0A075IPP2_331_3,399,43649.40869999999,Generated
A0A1G0AW29_332_3,470,51648.03450000005,Generated
A0A1G0AW29_333_3,470,51404.69450000006,Generated
A0A1G0AW29_334_3,470,52069.976200000085,Generated
A0A1G0AW29_335_3,470,51843.202700000096,Generated
A0A1G0AW29_336_3,470,51222.64160000007,Generated
A0A1G0AW29_337_3,470,51827.08330000006,Generated
A0A075IPP2_338_3,399,43422.21480000001,Generated
A0A075IPP2_339_3,399,43707.55450000002,Generated
A0A3M2BFW8_340_3,468,51920.09290000009,Generated
A0A3M2BFW8_341_3,468,51249.70390000012,Generated
A0A3M2BFW8_342_3,468,51319.815500000106,Generated
A0A3M2BFW8_343_3,468,51859.5939000001,Generated
A0A832ANL8_344_3,416,45117.004700000034,Generated
A0A948EPL6_345_3,413,45191.38410000007,Generated
A0A832J6A2_346_3,466,51071.18630000013,Generated
A0A3D0LV50_347_3,463,50452.63420000007,Generated
A0A075IRW9_348_3,397,43316.90400000005,Generated
A0A953VJD8_349_3,466,50933.01640000011,Generated
A0A1G0AW29_350_3,470,51672.891200000086,Generated
F2ZCE9_351_3,405,44241.014300000075,Generated
A0A1G3IDC6_352_3,462,50558.73730000005,Generated
A0A661DL27_353_3,436,47665.47130000007,Generated
A0A1G0AW29_354_3,470,51354.40090000008,Generated
A0A948EPL6_355_3,413,45221.63170000007,Generated
A0A948EPL6_356_3,413,44902.40060000008,Generated
A0A948EPL6_357_3,413,45130.95370000006,Generated
A0A948EPL6_358_3,413,44768.53000000009,Generated
A0A075IPP2_359_3,399,43589.25080000002,Generated
A0A832J6A2_360_3,466,51086.218500000134,Generated
A0A075IPP2_361_3,399,43654.4731,Generated
A0A948EPL6_362_3,413,44763.16380000008,Generated
A0A948EPL6_363_3,413,45257.54680000007,Generated
A0A948EPL6_364_3,413,44803.49450000004,Generated
A0A948EPL6_365_3,413,45124.641100000066,Generated
A0A948EPL6_366_3,413,45213.044500000055,Generated
A0A948EPL6_367_3,413,45038.663800000046,Generated
A0A948EPL6_368_3,413,44557.437400000046,Generated
A0A1G0AW29_369_3,470,51750.00250000004,Generated
A0A1G0AW29_370_3,470,51765.05810000004,Generated
A0A1G0AW29_371_3,470,51439.44420000003,Generated
A0A948EPL6_372_3,413,45331.78980000004,Generated
A0A075ISY8_373_3,397,43178.00630000005,Generated
A0A075ISY8_374_3,397,43200.64610000002,Generated
A0A7V7WQB9_375_3,463,50276.95240000008,Generated
A0A3M2BFW8_376_3,468,51354.07810000011,Generated
A0A075IPP2_377_3,399,43325.82370000003,Generated
A0A832ANL8_378_3,416,44995.401000000056,Generated
A0A832ANL8_379_3,416,45468.064200000066,Generated
A0A832ANL8_380_3,416,45224.670800000065,Generated
A0A1G0AW29_381_3,470,51913.20380000004,Generated
A0A075IPP2_382_3,399,43416.084100000015,Generated
A0A075IPP2_383_3,399,44024.713200000035,Generated
A0A075IPP2_384_3,399,43380.940300000046,Generated
A0A075IPP2_385_3,399,42971.303500000045,Generated
A0A075IPP2_386_3,399,43745.30180000001,Generated
A0A075IPP2_387_3,399,43658.27690000005,Generated
A0A075IPP2_388_3,399,42477.12690000003,Generated
A0A075IPP2_389_3,399,43726.28130000002,Generated
A0A1G0AW29_390_4,470,51973.31780000006,Generated
A0A1G0AW29_391_4,470,52036.36100000007,Generated
A0A1G0AW29_392_4,470,51584.655700000054,Generated
A0A2K8L348_393_4,470,51842.00210000005,Generated
A0A2K8L348_394_4,470,51432.68660000008,Generated
A0A1G0AW29_395_4,470,51523.50310000003,Generated
A0A813L3F7_396_4,591,64235.97280000018,Generated
A0A2K8L348_397_4,470,51110.93500000006,Generated
K1YYQ0_398_4,442,48048.46700000001,Generated
K1YYQ0_399_4,442,49098.687300000005,Generated
A0A849Q8T9_400_4,485,52716.987800000104,Generated
A0A0G0QYQ4_401_4,433,47655.00690000002,Generated
A0A0G0QYQ4_402_4,433,47386.354700000054,Generated
A0A3M1FDV3_403_4,487,53791.53610000004,Generated
A0A3M1FDV3_404_4,487,53073.83310000007,Generated
A0A3M1FDV3_405_4,487,53336.2811000001,Generated
A0A3M1FDV3_406_4,487,53467.62720000005,Generated
A0A3M1FDV3_407_4,487,53179.10230000005,Generated
K1YYQ0_408_4,442,48773.7944,Generated
A0A3M1FDV3_409_4,487,53489.008800000054,Generated
A0A3M1FDV3_410_4,487,54179.35150000006,Generated
K1YYQ0_411_4,442,48686.933400000045,Generated
K1YYQ0_412_4,442,47452.81560000004,Generated
K1YYQ0_413_4,442,48396.91720000004,Generated
K1YYQ0_414_4,442,48441.77400000001,Generated
K1YYQ0_415_4,442,48499.02870000005,Generated
K1YYQ0_416_4,442,47664.04720000002,Generated
K1YYQ0_417_4,442,48615.31410000004,Generated
A0A0G0QYQ4_418_4,433,47460.67800000003,Generated
A0A0G0QYQ4_419_4,433,47485.921100000036,Generated
A0A3M1FDV3_420_4,487,53872.59650000008,Generated
K1YYQ0_421_4,442,47403.40480000003,Generated
K1YYQ0_422_4,442,48093.777400000035,Generated
A0A3M1FDV3_423_4,487,53418.08810000004,Generated
A0A3M1FDV3_424_4,487,54015.98140000008,Generated
K1YYQ0_425_4,442,48587.718100000006,Generated
K1YYQ0_426_4,442,48743.04730000006,Generated
K1YYQ0_427_4,442,48519.03180000001,Generated
A0A3M1FDV3_428_4,487,53692.592900000054,Generated
A0A3M1FDV3_429_4,487,53917.49620000007,Generated
A0A3M1FDV3_430_4,487,54133.18630000006,Generated
A0A3M1FDV3_431_4,487,53771.731700000055,Generated
A0A3M1FDV3_432_4,487,53869.070800000074,Generated
A0A3M1FDV3_433_4,487,53599.485900000065,Generated
K1YYQ0_434_4,442,48785.25860000004,Generated
K1YYQ0_435_4,442,48428.111499999985,Generated
K1YYQ0_436_4,442,49010.632500000036,Generated
K1YYQ0_437_4,442,48239.42240000006,Generated
K1YYQ0_438_4,442,48501.888900000005,Generated
A0A849Q8T9_439_4,485,52068.56160000008,Generated
A0A3M1FDV3_440_4,487,53736.586400000066,Generated
A0A3M1FDV3_441_4,487,53729.429900000025,Generated
A0A3M1FDV3_442_4,487,53228.831700000075,Generated
A0A3M1FDV3_443_4,487,52315.092600000055,Generated
A0A3M1FDV3_444_4,487,53424.99020000011,Generated
A0A3M1FDV3_445_4,487,53416.561000000096,Generated
A0A3M1FDV3_446_4,487,53959.90470000002,Generated
A0A0G0QYQ4_447_4,433,47620.81260000005,Generated
A0A2K8L348_448_4,470,51235.06340000005,Generated
A0A0G0QYQ4_449_4,433,46909.754300000044,Generated
A0A1G0AW29_450_4,470,51917.27700000003,Generated
A0A075IPP2_451_4,399,43651.89760000001,Generated
A0A075IPP2_452_4,399,42765.54200000003,Generated
A0A075IPP2_453_4,399,43579.28320000006,Generated
A0A075IPP2_454_4,399,43637.411499999995,Generated
A0A075IPP2_455_4,399,43401.0282,Generated
A0A1G0AW29_456_4,470,51803.361900000054,Generated
A0A1G0AW29_457_4,470,52168.35860000004,Generated
A0A1G0AW29_458_4,470,51807.165300000044,Generated
A0A1G0AW29_459_4,470,51885.10900000006,Generated
A0A1G0AW29_460_4,470,51854.17180000003,Generated
A0A1G0AW29_461_4,470,51612.06150000008,Generated
A0A2K8L348_462_4,470,51811.07220000003,Generated
A0A075IPP2_463_4,399,43316.85450000005,Generated
A0A075IPP2_464_4,399,43079.92160000002,Generated
A0A2K8L348_465_4,470,51275.22700000006,Generated
A0A2K8L348_466_4,470,50868.92980000004,Generated
A0A1G0AW29_467_4,470,51657.41280000004,Generated
A0A1G0AW29_468_4,470,51561.83210000006,Generated
A0A1G0AW29_469_4,470,50811.11130000007,Generated
A0A1G0AW29_470_4,470,51574.346600000026,Generated
A0A2K8L348_471_4,470,51362.63530000006,Generated
A0A2K8L348_472_4,470,51663.39420000007,Generated
A0A075IPP2_473_4,399,43657.39340000002,Generated
A0A1G0AW29_474_4,470,51804.01500000007,Generated
A0A1G0AW29_475_4,470,51714.765200000074,Generated
A0A1G0AW29_476_4,470,52157.45410000012,Generated
A0A1G0AW29_477_4,470,51798.15490000007,Generated
A0A1G0AW29_478_4,470,51552.7096000001,Generated
A0A1G0AW29_479_4,470,51821.06220000007,Generated
A0A075IPP2_480_4,399,43324.31639999999,Generated
A0A075IPP2_481_4,399,43153.14590000006,Generated
A0A075IPP2_482_4,399,43857.52010000002,Generated
A0A075IPP2_483_4,399,43807.36130000003,Generated
A0A075IPP2_484_4,399,43916.45580000003,Generated
A0A075IPP2_485_4,399,43440.592900000025,Generated
A0A075IPP2_486_4,399,43685.07800000003,Generated
A0A075IPP2_487_4,399,43562.17700000003,Generated
A0A1G0AW29_488_4,470,51310.41490000006,Generated
A0A1G0AW29_489_4,470,51515.58360000007,Generated
A0A1G0AW29_490_4,470,51666.93410000005,Generated
A0A1G0AW29_491_4,470,52215.836800000056,Generated
A0A1G0AW29_492_4,470,51593.83060000008,Generated
A0A075IPP2_493_4,399,43077.90040000001,Generated
A0A075IPP2_494_4,399,43369.76710000002,Generated
A0A075IPP2_495_4,399,43853.68850000001,Generated
A0A075IPP2_496_4,399,43773.40750000002,Generated
A0A075IPP2_497_4,399,43750.27590000001,Generated
A0A075IPP2_498_4,399,43987.76650000001,Generated
A0A1G0AW29_499_4,470,51332.534100000084,Generated
A0A1G0AW29_500_4,470,51471.600100000076,Generated
A0A2K8L348_501_4,470,51367.590000000055,Generated
A0A1G0AW29_502_4,470,51975.96890000008,Generated
A0A1G0AW29_503_4,470,51781.01010000004,Generated
A0A832ANL8_504_4,416,45205.085300000035,Generated
A0A832ANL8_505_4,416,45065.044900000066,Generated
A0A832ANL8_506_4,416,45386.88500000001,Generated
